name,salary_from,salary_to,salary_currency,area_name,published_at
Программист 1C,50000,100000,RUR,Минусинск,2022-12-20T05:51:53+0300
Механик,150000,,RUR,Красноярск,2022-12-20T05:23:36+0300
Программист 1C,50000,100000,RUR,Назарово,2022-12-20T05:52:48+0300
Программист 1C,60000,100000,RUR,Красноярск,2022-12-20T05:48:07+0300
Начальник автотранспортной службы,80000,80000,RUR,Красноярск,2022-12-20T05:17:36+0300
Аналитик проектов,50000,50000,RUR,Иркутск,2022-12-20T05:11:22+0300
Инженер по ремонту и обслуживанию оборудования,60000,,RUR,Краснообск,2022-12-20T05:07:05+0300
Фрезеровщик,120000,,RUR,Ростов-на-Дону,2022-12-20T05:48:27+0300
Оператор станков с ЧПУ,75000,,RUR,Екатеринбург,2022-12-20T05:14:46+0300
Помощник системного администратора,,30000,RUR,Хабаровск,2022-12-20T05:00:02+0300
Токарь,40000,,RUR,Омск,2022-12-20T05:12:15+0300
Шлифовщик,125000,,RUR,Челябинск,2022-12-20T05:53:32+0300
Токарь-универсал,120000,,RUR,Самара,2022-12-20T05:44:59+0300
IT-специалист (Специалист отдела внедрения),45000,,RUR,Екатеринбург,2022-12-20T05:54:25+0300
Системный администратор,,36000,RUR,Новосибирск,2022-12-20T05:16:43+0300
Токарь-универсал,120000,,RUR,Нижний Новгород,2022-12-20T05:43:11+0300
Шлифовщик,125000,,RUR,Красноярск,2022-12-20T05:53:32+0300
Стропальщик в цех по производству сэндвич-панелей,25000,30000,RUR,Артемовский (Свердловская область),2022-12-20T05:52:42+0300
Токарь-универсал,120000,,RUR,Уфа,2022-12-20T05:44:59+0300
Программист 1C,50000,100000,RUR,Енисейск,2022-12-20T05:50:33+0300
Фрезеровщик,120000,,RUR,Ярославль,2022-12-20T05:48:27+0300
Шлифовщик,46000,,RUR,Екатеринбург,2022-12-20T05:38:18+0300
Токарь,30000,,RUR,Троицкое (Алтайский край),2022-12-20T05:17:23+0300
Фрезеровщик,32000,60000,RUR,Кемерово,2022-12-20T05:36:06+0300
Шлифовщик,125000,,RUR,Нижний Новгород,2022-12-20T05:50:38+0300
Инженер по подключению и сопровождению корпоративных клиентов,60000,,RUR,Якутск,2022-12-20T05:15:34+0300
Фрезеровщик,120000,,RUR,Казань,2022-12-20T05:48:27+0300
"Инженер по слаботочным системам (СКС, ОПС, СКУД)",65000,,RUR,Екатеринбург,2022-12-20T05:55:30+0300
Специалист по техническому обслуживанию оборудования,60000,,RUR,Ирбит,2022-12-20T05:23:52+0300
Backend-разработчик,50000,,RUR,Челябинск,2022-12-20T05:42:59+0300
Токарь-универсал,120000,,RUR,Оренбург,2022-12-20T05:44:59+0300
Фрезеровщик,120000,,RUR,Нижний Новгород,2022-12-20T05:46:16+0300
Руководитель отдела разработки программного обеспечения,200000,250000,RUR,Екатеринбург,2022-12-20T05:34:08+0300
Печатник уф-принтера / оператор лазерного станка,35000,45000,RUR,Казань,2022-12-20T05:12:13+0300
Программист 1С,,120000,RUR,Владивосток,2022-12-20T05:16:59+0300
Ведущий технический дизайнер,,70000,RUR,Екатеринбург,2022-12-20T05:44:45+0300
Механик - снабженец (Красноярск),60000,60000,RUR,Красноярск,2022-12-20T05:17:44+0300
Механик дробильно-сортировочного участка (ДСУ),60000,,RUR,Асбест,2022-12-20T05:28:35+0300
Шлифовщик,125000,,RUR,Чебоксары,2022-12-20T05:53:32+0300
Программист 1C,50000,100000,RUR,Дивногорск,2022-12-20T05:54:10+0300
Программист 1C,50000,100000,RUR,Заозерный,2022-12-20T05:50:13+0300
Токарь,55000,65000,RUR,Екатеринбург,2022-12-20T05:05:44+0300
Программист 1C,50000,100000,RUR,Ужур,2022-12-20T05:49:30+0300
Токарь,34000,34000,RUR,Камень-на-Оби,2022-12-20T05:17:27+0300
Программист 1C,50000,100000,RUR,Сосновоборск,2022-12-20T05:55:09+0300
"Сборщик панелей (СИП, ППУ, ППС)",40000,,RUR,Артемовский (Свердловская область),2022-12-20T05:55:25+0300
Программист 1C,50000,100000,RUR,Лесосибирск,2022-12-20T05:53:50+0300
Фрезеровщик,93000,,RUR,Новосибирск,2022-12-20T05:47:24+0300
Программист 1C,50000,100000,RUR,Шушенское,2022-12-20T05:48:55+0300
Токарь,45000,,RUR,Новокузнецк,2022-12-20T05:38:17+0300
Ведущий инженер сетей передачи данных ЦОД,86000,,RUR,Новосибирск,2022-12-20T05:14:43+0300
Сервисный инженер,40000,80000,RUR,Челябинск,2022-12-20T05:24:41+0300
Бизнес-аналитик,150000,,RUR,Москва,2022-12-20T05:15:52+0300
Оператор ЧПУ листогиб,40000,,RUR,Арамиль,2022-12-20T05:04:54+0300
Backend разработчик (PHP),100000,,RUR,Новосибирск,2022-12-20T05:33:28+0300
Программист 1C,50000,100000,RUR,Шарыпово,2022-12-20T05:49:14+0300
Программист 1C,50000,100000,RUR,Железногорск (Красноярский край),2022-12-20T05:54:44+0300
Продавец-кассир (ТЦ Royal),34000,,RUR,Северобайкальск,2022-12-20T05:14:55+0300
Сервисный инженер,40000,80000,RUR,Екатеринбург,2022-12-20T05:25:11+0300
Программист 1C,50000,100000,RUR,Норильск,2022-12-20T05:51:30+0300
Плавильщик металла,65000,90000,RUR,Барнаул,2022-12-20T05:56:10+0300
Старший инженер технической поддержки,50000,,RUR,Новосибирск,2022-12-20T05:14:26+0300
Сервисный инженер,55000,,RUR,Екатеринбург,2022-12-20T05:45:24+0300
Программист 1C,50000,100000,RUR,Ачинск,2022-12-20T05:53:09+0300
Программист 1C,50000,100000,RUR,Абан,2022-12-20T05:51:12+0300
Механик,50000,,RUR,Екатеринбург,2022-12-20T05:45:34+0300
Программист 1C,50000,100000,RUR,Иланский,2022-12-20T05:49:52+0300
Бригадир участка по ремонту и обслуживанию оборудования,40000,,RUR,Топки,2022-12-20T05:49:57+0300
Сервисный инженер,50000,100000,RUR,Курган,2022-12-20T05:24:36+0300
"Токарь-расточник (4-6 разряд) ""ПО ""Полет""",50000,120000,RUR,Омск,2022-12-20T05:17:49+0300
Техник/монтажник слаботочных систем безопасности,35000,,RUR,Челябинск,2022-12-20T05:25:21+0300
Ведущий инженер-программист,80000,120000,RUR,Барнаул,2022-12-20T05:12:35+0300
"Токарь (4-6 разряд) ""ПО ""Полет""",33100,120000,RUR,Омск,2022-12-20T05:17:55+0300
Инженер эксплуатации транспортных сетей,55000,,RUR,Магадан,2022-12-20T05:30:18+0300
Главный инженер/Руководитель проекта (Системы безопасности) ОПС\СКУД,50000,100000,RUR,Челябинск,2022-12-20T05:25:31+0300
Программист 1С,100000,,RUR,Новосибирск,2022-12-20T05:36:21+0300
"Инженер ОПС (слаботочка, Системы безопасности)",35000,70000,RUR,Челябинск,2022-12-20T05:25:26+0300
"Начальник СТО, грузовой сервис",70000,,RUR,Барнаул,2022-12-20T05:54:59+0300
"Фрезеровщик (4-6 разряд) ""ПО ""Полет""",38000,53000,RUR,Омск,2022-12-20T05:17:47+0300
Оператор станков с ПУ (УЧЕНИК),48000,80000,RUR,Екатеринбург,2022-12-20T06:53:58+0300
Механик,250000,300000,KZT,Алматы,2022-12-20T06:45:33+0300
Сетевой администратор,,1350,USD,Ташкент,2022-12-20T06:09:31+0300
Специалист IT отдела,290000,,KZT,Усть-Каменогорск,2022-12-20T06:51:56+0300
Оператор станков с ЧПУ,60000,,RUR,Новосибирск,2022-12-20T06:54:40+0300
Оператор фрезерных станков с ЧПУ,60000,,RUR,Уфа,2022-12-20T06:05:53+0300
Специалист по обслуживанию (объекты операторов сотовой связи),30000,60000,RUR,Абакан,2022-12-20T06:10:59+0300
Корреспондент (Журналист),120000,,RUR,Москва,2022-12-20T06:47:34+0300
Системный инженер по IP-телефонии (Middle),100000,150000,RUR,Пермь,2022-12-20T06:50:25+0300
Главный механик,60000,60000,RUR,Чита,2022-12-20T06:44:19+0300
Бизнес-аналитик,70000,100000,RUR,Нижний Новгород,2022-12-20T06:09:31+0300
Менеджер проекта,40000,80000,RUR,Кемерово,2022-12-20T06:54:35+0300
Токарь,38000,38000,RUR,Челябинск,2022-12-20T06:54:57+0300
Software Project Manager,1500,2000,USD,США,2022-12-20T06:07:52+0300
Front-End разработчик,230000,,RUR,Москва,2022-12-20T06:29:06+0300
Менеджер проектов,50000,,RUR,Красноярск,2022-12-20T06:07:31+0300
Токарь-расточник,90000,,RUR,Екатеринбург,2022-12-20T06:37:12+0300
Системный администратор,40000,,KGS,Бишкек,2022-12-20T06:06:14+0300
Программист 1С,50000,,RUR,Барнаул,2022-12-20T06:53:14+0300
Токарь,55000,60000,RUR,Санкт-Петербург,2022-12-20T06:41:40+0300
Консультант 1C,40000,40000,RUR,Красноярск,2022-12-20T06:58:44+0300
Специалист по монтажу крупной бытовой техники,55000,75000,RUR,Хабаровск,2022-12-20T06:26:27+0300
Оператор станка с ЧПУ,32000,,RUR,Верхнеуральск,2022-12-20T06:27:12+0300
Мастер по обслуживанию кофемашин,35000,40000,RUR,Новосибирск,2022-12-20T06:37:34+0300
Аналитик бизнес-процессов,28500,35000,RUR,Новосибирск,2022-12-20T06:56:37+0300
Монтажник систем видеонаблюдения,30000,,RUR,Красноярск,2022-12-20T06:07:18+0300
Системный администратор на производство,50000,,RUR,Новосибирск,2022-12-20T06:02:16+0300
Инженер-механик по планированию (горно-транспортная техника),120000,,RUR,Красноярск,2022-12-20T06:25:39+0300
Токарь,45000,75000,RUR,Омск,2022-12-20T06:51:02+0300
Шлифовщик сухим способом,50000,,RUR,Иркутск,2022-12-20T06:09:17+0300
Программист 1С,40000,70000,RUR,Копейск,2022-12-20T06:57:59+0300
Оператор станков с ЧПУ,70000,,RUR,Екатеринбург,2022-12-20T06:37:11+0300
Станочник широкого профиля,45000,50000,RUR,Иркутск,2022-12-20T06:09:20+0300
Инженер по технической документации,39000,39000,RUR,Каменск-Уральский,2022-12-20T06:45:45+0300
Токарь,31500,,RUR,Кемерово,2022-12-20T06:32:46+0300
Оператор технической поддержки,27000,32000,RUR,Красноярск,2022-12-20T06:08:53+0300
Шлифовщик на круглую шлифовку,65000,,RUR,Екатеринбург,2022-12-20T06:56:13+0300
Токарь,50000,,RUR,Екатеринбург,2022-12-20T06:35:21+0300
Токарь,32,40000,RUR,Верхнеуральск,2022-12-20T06:27:45+0300
Маркетолог-аналитик,50000,80000,RUR,Екатеринбург,2022-12-20T06:08:36+0300
Junior full-stack web developer (Bitrix/Bitrix24),75000,100000,RUR,Красноярск,2022-12-20T06:18:35+0300
Токарь-универсал,60000,90000,RUR,Екатеринбург,2022-12-20T06:37:12+0300
Junior full-stack web developer (Bitrix/Bitrix24),50000,100000,RUR,Чебоксары,2022-12-20T06:18:35+0300
Токарь,32,40000,RUR,Магнитогорск,2022-12-20T06:27:42+0300
Фрезеровщик,70000,,RUR,Екатеринбург,2022-12-20T06:37:12+0300
Специалист ИТ отдела,45000,45000,RUR,Красноярск,2022-12-20T06:25:15+0300
"Монтажник / бригада слаботочных систем (АПС, СОУЭ, СКУД)",80000,,RUR,Балашиха,2022-12-20T06:52:49+0300
Токарь-расточник,90000,,RUR,Полевской,2022-12-20T06:37:12+0300
Инженер технической поддержки,40000,60000,RUR,Красноярск,2022-12-20T06:05:45+0300
Станочник металлообрабатывающих станков,,80000,RUR,Пермь,2022-12-20T06:40:48+0300
Токарь-универсал (Дзержинский район),55000,,RUR,Новосибирск,2022-12-20T06:10:39+0300
Технический специалист домофонии(без опыта),35000,,RUR,Красноярск,2022-12-20T06:07:24+0300
Токарь-универсал,45000,85000,RUR,Екатеринбург,2022-12-20T06:38:51+0300
Монтажник систем видеонаблюдения,30000,,RUR,Красноярск,2022-12-20T06:06:43+0300
"Аналитик (CRM, Битрикс24)",40000,,RUR,Новосибирск,2022-12-20T06:39:05+0300
"Сервисный мастер (домофоны, СКУД, Видеонаблюдение)",40000,60000,RUR,Красноярск,2022-12-20T06:52:09+0300
Консультант 1С,60000,80000,RUR,Омск,2022-12-20T06:44:30+0300
Программист-оператор токарного станка с ЧПУ,90000,100000,RUR,Москва,2022-12-20T06:10:44+0300
Станочник деревообрабатывающих станков,40000,,RUR,Уфа,2022-12-20T06:11:44+0300
Специалист технической поддержки пользователя,25000,40000,RUR,Челябинск,2022-12-20T06:39:07+0300
Инженер-программист систем автоматического управления,70000,,RUR,Томск,2022-12-20T06:53:12+0300
Руководитель проекта по бережливому производству,80000,80000,RUR,Челябинск,2022-12-20T06:39:35+0300
Специалист по подключению абонентов,60000,,RUR,Новосибирск,2022-12-20T06:35:47+0300
Full-stack web developer (Bitrix/Bitrix24),75000,100000,RUR,Иркутск,2022-12-20T06:18:35+0300
Старший электромеханик средств радио и телевидения в с. Павлово Каргасокского района,32955,,RUR,Павлово,2022-12-20T06:35:28+0300
Менеджер по проекту,350000,350000,KZT,Астана,2022-12-20T06:50:27+0300
Технический специалист,30000,,RUR,Красноярск,2022-12-20T06:07:04+0300
Системный администратор,45000,50000,RUR,Красноярск,2022-12-20T06:59:22+0300
Инженер средств радио и телевидения в г. Стрежевой,38235,,RUR,Стрежевой,2022-12-20T06:35:25+0300
Помощник Инженера наладчика систем холода,180000,250000,KZT,Алматы,2022-12-20T06:53:24+0300
Фрезеровщик (Дзержинский район),55000,,RUR,Новосибирск,2022-12-20T06:10:44+0300
Выбивальщик отливок,35000,45000,RUR,Екатеринбург,2022-12-20T06:53:51+0300
Специалист технического отдела,,55000,RUR,Новокузнецк,2022-12-20T06:01:03+0300
Full-stack web developer (Bitrix/Bitrix24),75000,120000,RUR,Красноярск,2022-12-20T06:18:35+0300
Программист 1С,150000,150000,RUR,Хабаровск,2022-12-20T06:10:04+0300
Токарь-фрезеровщик,,80000,RUR,Пермь,2022-12-20T06:40:51+0300
Оператор службы технической поддержки,22000,,RUR,Омск,2022-12-20T06:40:44+0300
Full-stack web developer (Bitrix/Bitrix24),70000,120000,RUR,Чебоксары,2022-12-20T06:18:35+0300
Специалист технического отдела,,55000,RUR,Кемерово,2022-12-20T06:00:25+0300
Руководитель группы продакт-менеджеров,70000,100000,RUR,Москва,2022-12-20T06:54:38+0300
Сервисный инженер,400000,,KZT,Усть-Каменогорск,2022-12-20T07:44:01+0300
Программист (junior),50000,,RUR,Екатеринбург,2022-12-20T07:51:20+0300
Web-дизайнер,65000,,RUR,Санкт-Петербург,2022-12-20T07:53:12+0300
Начальник гаража,45000,,RUR,Екатеринбург,2022-12-20T07:02:48+0300
Механик (объект Бованенково),150000,180000,RUR,Уфа,2022-12-20T07:29:08+0300
Ассистент диджитал маркетолога,150000,,KZT,Алматы,2022-12-20T07:06:13+0300
Инженер-механик,350000,400000,KZT,Караганда,2022-12-20T07:31:23+0300
Специалист технической поддержки,57500,,RUR,Воронеж,2022-12-20T07:33:11+0300
Помощник руководителя,100000,120000,RUR,Москва,2022-12-20T07:10:30+0300
Support Engineer,80000,120000,RUR,Новосибирск,2022-12-20T07:03:54+0300
Ведущий системный администратор,,120000,RUR,Кемерово,2022-12-20T07:30:51+0300
Онлайн-консультант,35000,,RUR,Москва,2022-12-20T07:37:01+0300
Системный администратор,55000,,RUR,Красноярск,2022-12-20T07:56:40+0300
Механик по сервису (Дистрибьютор строительной техники),120000,200000,RUR,Кемерово,2022-12-20T07:27:54+0300
Администратор Битрикс 24/Руководитель проекта внедрения и сопровождения Битрикс 24,100000,,RUR,Санкт-Петербург,2022-12-20T07:18:06+0300
Монтажник РЭА и приборов,35000,,RUR,Новосибирск,2022-12-20T07:52:13+0300
Главный механик,60000,70000,RUR,Иркутск,2022-12-20T07:58:12+0300
Техник-механик,200000,235000,KZT,Алматы,2022-12-20T07:07:00+0300
Механик кондитерского оборудования,40000,,RUR,Красноярск,2022-12-20T07:29:33+0300
Сервисный специалист по обслуживанию и ремонту оборудования,60000,100000,RUR,Крымск,2022-12-20T07:41:27+0300
"Системный администратор Windows, Linux",120000,,RUR,Екатеринбург,2022-12-20T07:18:43+0300
Специалист личной поддержки,,42000,RUR,Челябинск,2022-12-20T07:15:58+0300
Директор по информационным технологиям (CIO / Chief Information Officer),120000,,RUR,Екатеринбург,2022-12-20T07:39:43+0300
Механик,50000,70000,RUR,Томск,2022-12-20T07:32:25+0300
DevOps инженер,100000,150000,RUR,Тюмень,2022-12-20T07:57:59+0300
Механик,50000,70000,RUR,Южно-Сахалинск,2022-12-20T07:07:42+0300
Программист,40000,,RUR,Иркутск,2022-12-20T07:57:04+0300
Программист-наладчик станков с ЧПУ,100000,,RUR,Екатеринбург,2022-12-20T07:45:18+0300
Ведущий специалист по информационной безопасности,80000,,RUR,Кемерово,2022-12-20T07:36:49+0300
Разработчик 1С,90000,120000,RUR,Пермь,2022-12-20T07:19:11+0300
Торговый представитель СТМ,50000,90000,RUR,Новосибирск,2022-12-20T07:59:17+0300
Руководитель проекта в офис,80000,,RUR,Новосибирск,2022-12-20T07:22:38+0300
Оператор станка с ЧПУ,60000,70000,RUR,Санкт-Петербург,2022-12-20T07:35:00+0300
Дизайнер,40000,50000,RUR,Красноярск,2022-12-20T07:22:49+0300
Программист 1С,1000,,USD,Бишкек,2022-12-20T07:51:03+0300
Консультант 1С,60000,,RUR,Пермь,2022-12-20T07:42:40+0300
Оператор фрезерного и лазерного станка с ЧПУ,200000,,KZT,Алматы,2022-12-20T07:07:08+0300
Программист С++/Qt,,97825,RUR,Челябинск,2022-12-20T07:55:13+0300
Контрольный механик в таксопарк,20000,26000,RUR,Омск,2022-12-20T07:22:00+0300
Механик (грузоперевозки),120000,120000,RUR,Новокузнецк,2022-12-20T07:29:24+0300
C/C++ разработчик,100000,,RUR,Ростов-на-Дону,2022-12-20T07:09:49+0300
Главный механик,50000,,RUR,Ульяновск,2022-12-20T07:48:51+0300
Инженер-программист 1 С,50000,,RUR,Альметьевск,2022-12-20T07:54:04+0300
Программист / Разработчик 1С (Middle),80000,,RUR,Нижний Новгород,2022-12-20T07:26:13+0300
Оператор/наладчик фрезерных и токарных станков с ЧПУ,80000,120000,RUR,Санкт-Петербург,2022-12-20T07:58:07+0300
1С Программист,1000000,,KZT,Алматы,2022-12-20T07:06:36+0300
Младший инженер Linux,70000,,RUR,Екатеринбург,2022-12-20T07:36:58+0300
Ведущий аналитик,,45750,RUR,Екатеринбург,2022-12-20T07:15:22+0300
Системный администратор,43400,,RUR,Магнитогорск,2022-12-20T07:34:32+0300
Системный администратор,45000,60000,RUR,Новосибирск,2022-12-20T07:22:52+0300
Оператор-наладчик станков с ЧПУ,80000,,RUR,Екатеринбург,2022-12-20T07:51:20+0300
Дизайнер,35000,45000,RUR,Якутск,2022-12-20T07:44:25+0300
IT-специалист,50000,60000,RUR,Уфа,2022-12-20T07:38:18+0300
Электрик (на производство),50000,,RUR,Екатеринбург,2022-12-20T07:08:33+0300
